,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
199401,1.8888,2.8327,4.9937,1.8926,4.3231,2.803
199402,-0.9471,0.6358,-1.0514,-1.7777,-3.4832,-4.8509
199403,-6.2738,-4.9868,-4.4489,-4.9327,-3.9584,-4.2408
199404,-0.8293,0.5724,1.2715,0.3072,1.8686,1.3228
199405,-2.5874,-1.2226,-0.1099,1.3167,1.2912,-1.0891
199406,-4.8175,-2.2209,-2.1558,-3.3041,-2.3093,-2.6352
199407,1.4603,1.2695,2.0436,2.9724,3.358,3.399
199408,7.2014,4.3868,3.795,5.5932,2.2539,2.9802
199409,0.5336,-0.1751,-0.5352,-1.3933,-3.3883,-4.1907
199410,0.5864,-0.1849,-1.8723,2.1389,2.1954,0.9602
199411,-3.9209,-3.4558,-3.8164,-3.1526,-4.0416,-5.4141
199412,0.7037,1.7178,1.412,1.1823,0.7363,1.4451
199501,-1.1413,-0.6268,1.0197,2.0883,3.5382,1.3367
199502,3.7362,2.7719,4.1774,3.9266,2.9003,5.3289
199503,2.6695,1.7948,0.9527,2.7892,2.2348,2.2406
199504,0.9321,3.1414,2.9968,1.9665,2.4661,4.2491
199505,0.8444,1.4778,2.8106,3.4474,3.1577,4.5621
199506,7.3245,4.744,4.0044,3.554,1.2092,2.2532
199507,7.9228,4.5684,4.8726,3.8553,3.6454,3.3014
199508,1.9554,2.6807,3.9199,-0.2104,0.5374,2.9354
199509,2.3053,1.9671,1.3292,4.4431,3.4071,3.723
199510,-5.7565,-5.2161,-3.8773,0.4138,-1.1172,-3.205
199511,3.5573,2.9762,3.8375,3.8252,4.4061,5.1285
199512,1.8485,2.4326,2.0525,0.2804,2.522,1.565
199601,0.2922,0.0496,0.7452,2.8769,2.9745,2.8008
199602,4.8026,2.067,2.6972,1.7925,0.9357,0.7551
199603,2.3423,2.5363,2.4592,-0.1368,1.7,1.6509
199604,8.6752,4.6164,4.5246,2.8998,0.9116,-0.9777
