Dates	Open Interest (All)	Noncommercial Positions-Long (All)	Noncommercial Positions-Short (All)	Noncommercial Positions-Spreading (All)	Commercial Positions-Long (All)	Commercial Positions-Short (All)	 Total Reportable Positions-Long (All)	Total Reportable Positions-Short (All)	Nonreportable Positions-Long (All)	Nonreportable Positions-Short (All)			NCMNET	COMNET	TOTNET	NONNET
04-01-94	183638	5824	22228	1217	136901	122906	143942	146351	39696	37287			-16404	13995	-2409	2409
11-01-94	188778	7156	23258	1293	139783	121522	148232	146073	40546	42705			-16102	18261	2159	-2159
18-01-94	187401	6101	26312	867	141302	117281	148270	144460	39131	42941			-20211	24021	3810	-3810
25-01-94	188712	6078	26417	937	139554	119007	146569	146361	42143	42351			-20339	20547	208	-208
01-02-94	193455	8222	29491	925	143021	118232	152168	148648	41287	44807			-21269	24789	3520	-3520
08-02-94	192200	7705	31318	646	140132	115730	148483	147694	43717	44506			-23613	24402	789	-789
15-02-94	192658	9097	28573	913	138395	120788	148405	150274	44253	42384			-19476	17607	-1869	1869
22-02-94	196092	6918	32000	590	140918	115783	148426	148373	47666	47719			-25082	25135	53	-53
01-03-94	204398	7473	36393	2304	137734	110415	147511	149112	56887	55286			-28920	27319	-1601	1601
08-03-94	211258	7095	34979	2082	150783	119127	159960	156188	51298	55070			-27884	31656	3772	-3772
15-03-94	238143	8088	32632	1279	171230	148052	180597	181963	57546	56180			-24544	23178	-1366	1366
22-03-94	188604	10914	25138	1351	142321	118753	154586	145242	34018	43362			-14224	23568	9344	-9344
29-03-94	193623	7169	33866	63	141537	111419	148769	145348	44854	48275			-26697	30118	3421	-3421
05-04-94	193763	8756	34572	514	138630	109237	147900	144323	45863	49440			-25816	29393	3577	-3577
12-04-94	201433	7814	41697	899	148997	106813	157710	149409	43723	52024			-33883	42184	8301	-8301
19-04-94	205156	8453	48474	552	153566	101354	162571	150380	42585	54776			-40021	52212	12191	-12191
26-04-94	203829	9772	42860	869	151696	107994	162337	151723	41492	52106			-33088	43702	10614	-10614
03-05-94	207400	8340	45432	1256	156488	104945	166084	151633	41316	55767			-37092	51543	14451	-14451
10-05-94	215794	9020	44837	1199	160807	111868	171026	157904	44768	57890			-35817	48939	13122	-13122
17-05-94	222516	8817	46307	332	169787	117195	178936	163834	43580	58682			-37490	52592	15102	-15102
24-05-94	222250	4449	44126	845	173456	115779	178750	160750	43500	61500			-39677	57677	18000	-18000
31-05-94	229864	6166	43557	1221	179565	125094	186952	169872	42912	59992			-37391	54471	17080	-17080
07-06-94	243706	5713	43738	2663	185502	131655	193878	178056	49828	65650			-38025	53847	15822	-15822
14-06-94	251049	6335	42621	1329	192514	135873	200178	179823	50871	71226			-36286	56641	20355	-20355
21-06-94	204438	6900	44474	20	157448	105597	164368	150091	40070	54347			-37574	51851	14277	-14277
28-06-94	210172	5854	45027	1466	158754	108139	166074	154632	44098	55540			-39173	50615	11442	-11442
05-07-94	209608	5513	47534	40	161124	107519	166677	155093	42931	54515			-42021	53605	11584	-11584
12-07-94	217383	5120	46370	405	168028	114342	173553	161117	43830	56266			-41250	53686	12436	-12436
19-07-94	219612	7024	36476	10	172083	127643	179117	164129	40495	55483			-29452	44440	14988	-14988
26-07-94	218769	6801	37853	323	172134	127747	179258	165923	39511	52846			-31052	44387	13335	-13335
02-08-94	215238	8907	34840	372	162865	124242	172144	159454	43094	55784			-25933	38623	12690	-12690
09-08-94	216293	12284	40128	1313	160101	119462	173698	160903	42595	55390			-27844	40639	12795	-12795
16-08-94	231523	14136	42974	2138	167653	124201	183927	169313	47596	62210			-28838	43452	14614	-14614
23-08-94	237536	9826	42352	1520	177911	131052	189257	174924	48279	62612			-32526	46859	14333	-14333
30-08-94	242339	9699	39225	2571	178485	138253	190755	180049	51584	62290			-29526	40232	10706	-10706
06-09-94	252321	9586	45646	4488	184181	136916	198255	187050	54066	65271			-36060	47265	11205	-11205
13-09-94	259574	8373	48990	3798	190895	140360	203066	193148	56508	66426			-40617	50535	9918	-9918
20-09-94	212352	7098	41351	200	166286	114320	173584	155871	38768	56481			-34253	51966	17713	-17713
27-09-94	214185	5790	45999	19	167316	114045	173125	160063	41060	54122			-40209	53271	13062	-13062
04-10-94	225137	10863	50167	904	168210	114287	179977	165358	45160	59779			-39304	53923	14619	-14619
11-10-94	225434	12517	45582	1173	171599	122310	185289	169065	40145	56369			-33065	49289	16224	-16224
18-10-94	225867	11462	35825	3023	170676	127935	185161	166783	40706	59084			-24363	42741	18378	-18378
25-10-94	240180	13179	40871	3323	179214	135711	195716	179905	44464	60275			-27692	43503	15811	-15811
01-11-94	222540	12904	29344	3503	162754	129071	179161	161918	43379	60622			-16440	33683	17243	-17243
08-11-94	234622	13886	30484	5044	168330	138623	187260	174151	47362	60471			-16598	29707	13109	-13109
15-11-94	239320	12948	30711	7884	174378	141781	195210	180376	44110	58944			-17763	32597	14834	-14834
22-11-94	259358	13257	29056	10206	180709	156699	204172	195961	55186	63397			-15799	24010	8211	-8211
29-11-94	261094	12645	33782	9405	189203	154191	211253	197378	49841	63716			-21137	35012	13875	-13875
06-12-94	273198	13119	35526	6154	196372	161796	215645	203476	57553	69722			-22407	34576	12169	-12169
13-12-94	291218	17605	32404	1326	207823	175362	226754	209092	64464	82126			-14799	32461	17662	-17662
20-12-94	212579	9890	29132	58	166802	124583	176750	153773	35829	58806			-19242	42219	22977	-22977
27-12-94	211915	9943	27081	0	167278	129180	177221	156261	34694	55654			-17138	38098	20960	-20960
03-01-95	211544	9793	25895	29	163536	128730	173358	154654	38186	56890			-16102	34806	18704	-18704
10-01-95	212721	10072	25633	736	163350	128985	174158	155354	38563	57367			-15561	34365	18804	-18804
17-01-95	214694	11256	27942	1771	162270	123818	175297	153531	39397	61163			-16686	38452	21766	-21766
24-01-95	212944	9564	28500	2036	161732	120450	173332	150986	39612	61958			-18936	41282	22346	-22346
31-01-95	211417	11257	27003	3124	155219	119846	169600	149973	41817	61444			-15746	35373	19627	-19627
07-02-95	217877	11523	32082	4698	157535	118880	173756	155660	44121	62217			-20559	38655	18096	-18096
14-02-95	220228	12500	34497	4767	157451	111975	174718	151239	45510	68989			-21997	45476	23479	-23479
21-02-95	223668	12079	32513	5069	159810	116936	176958	154518	46710	69150			-20434	42874	22440	-22440
28-02-95	226123	13681	30408	3890	157841	120433	175412	154731	50711	71392			-16727	37408	20681	-20681
07-03-95	233951	12045	28146	4047	163609	122159	179701	154352	54250	79599			-16101	41450	25349	-25349
