dateff,mktrf,smb,hml,rf,umd
31-01-94,0.0287,0.0014,0.0209,0.0025,0.0002
28-02-94,-0.0255,0.0273,-0.0144,0.0021,-0.0029
31-03-94,-0.0478,-0.0098,0.0131,0.0027,-0.0133
29-04-94,0.0068,-0.0093,0.0168,0.0027,0.0041
31-05-94,0.0058,-0.0202,0.002,0.0031,-0.0215
30-06-94,-0.0303,-0.0045,0.017,0.0031,-0.0082
29-07-94,0.0282,-0.0173,0.0059,0.0028,0.0019
31-08-94,0.0401,0.0134,-0.0282,0.0037,0.0155
30-09-94,-0.0231,0.0282,-0.019,0.0037,0.0132
31-10-94,0.0134,-0.0234,-0.0173,0.0038,0.0143
30-11-94,-0.0404,0.0027,-0.0094,0.0037,-0.002
30-12-94,0.0086,0.0004,0.0055,0.0044,0.035
31-01-95,0.018,-0.0265,0.0083,0.0042,-0.0183
28-02-95,0.0363,-0.0067,0.0108,0.004,-0.0036
31-03-95,0.0219,-0.007,-0.0107,0.0046,0.0038
28-04-95,0.0211,-0.0062,0.0226,0.0044,0.018
31-05-95,0.029,-0.022,0.0169,0.0054,-0.0043
30-06-95,0.0272,0.0293,-0.0227,0.0047,0.029
31-07-95,0.0372,0.0209,-0.0168,0.0045,0.0253
31-08-95,0.0055,0.016,0.0271,0.0047,0.0009
29-09-95,0.0335,-0.021,-0.0076,0.0043,0.0271
31-10-95,-0.0152,-0.0374,-0.0075,0.0047,0.0412
30-11-95,0.0396,-0.0117,0.0094,0.0042,-0.0064
29-12-95,0.0103,0.0057,0.0086,0.0049,0.0254
31-01-96,0.0226,-0.0262,0.003,0.0043,0.0057
29-02-96,0.0133,0.0188,-0.0142,0.0039,0.0058
29-03-96,0.0073,0.013,0.01,0.0039,-0.0188
30-04-96,0.0206,0.0492,-0.039,0.0046,-0.0091
31-05-96,0.0236,0.0304,-0.012,0.0042,0.0156
28-06-96,-0.0114,-0.0358,0.0156,0.004,0.0101
31-07-96,-0.0597,-0.0383,0.0445,0.0045,-0.0011
30-08-96,0.0277,0.023,-0.0046,0.0041,-0.0005
30-09-96,0.0501,-0.0088,-0.0314,0.0044,0.0269
31-10-96,0.0086,-0.0444,0.0512,0.0042,0.0391
29-11-96,0.0625,-0.0389,0.0116,0.0041,-0.0223
31-12-96,-0.017,0.032,0.009,0.0046,0.0061
31-01-97,0.0498,-0.0184,-0.0164,0.0045,0.0195
28-02-97,-0.0049,-0.029,0.0519,0.0039,-0.0205
31-03-97,-0.0502,-0.0038,0.0381,0.0043,0.0097
30-04-97,0.0404,-0.0566,-0.0007,0.0043,0.0492
30-05-97,0.0674,0.0489,-0.0387,0.0049,-0.0516
30-06-97,0.041,0.0132,0.0123,0.0037,0.0262
31-07-97,0.0733,-0.028,0.0084,0.0043,0.0381
29-08-97,-0.0415,0.0731,0.0138,0.0041,-0.0255
30-09-97,0.0535,0.0261,0.0002,0.0044,0.0145
31-10-97,-0.038,-0.0068,0.0196,0.0042,-0.0038
28-11-97,0.0298,-0.0494,0.0078,0.0039,0.0029
31-12-97,0.0132,-0.0235,0.0346,0.0048,0.0395
30-01-98,0.0015,-0.0115,-0.0145,0.0043,0.0011
27-02-98,0.0704,0,-0.0013,0.0039,-0.0114
31-03-98,0.0476,-0.0094,0.0106,0.0039,0.0215
30-04-98,0.0073,0.0021,0.0074,0.0043,0.0078
29-05-98,-0.0307,-0.0375,0.0416,0.004,0.0188
30-06-98,0.0318,-0.0316,-0.0232,0.0041,0.0726
31-07-98,-0.0246,-0.0512,-0.0097,0.004,0.0368
31-08-98,-0.1608,-0.053,0.0341,0.0043,0.0188
30-09-98,0.0615,-0.0012,-0.0331,0.0046,-0.0071
30-10-98,0.0713,-0.0332,-0.022,0.0032,-0.0536
30-11-98,0.061,0.0107,-0.0314,0.0031,0.0116
31-12-98,0.0616,-0.0033,-0.0446,0.0038,0.0899
29-01-99,0.035,0.0039,-0.0403,0.0035,0.0304
26-02-99,-0.0408,-0.0568,0.014,0.0035,-0.0016
31-03-99,0.0345,-0.0394,-0.0264,0.0043,-0.0129
30-04-99,0.0433,0.0399,0.0251,0.0037,-0.0906
28-05-99,-0.0246,0.0342,0.024,0.0034,-0.0528
30-06-99,0.0477,0.0306,-0.0359,0.004,0.0489
30-07-99,-0.0347,0.0266,-0.0077,0.0038,0.0152
31-08-99,-0.0138,-0.0127,-0.0131,0.0039,0.0292
30-09-99,-0.0281,0.0333,-0.0339,0.0039,0.0644
29-10-99,0.0613,-0.0694,-0.0288,0.0039,0.0548
30-11-99,0.0337,0.0738,-0.065,0.0036,0.0562
31-12-99,0.0772,0.0715,-0.0867,0.0044,0.1319
31-01-00,-0.0474,0.0495,-0.0031,0.0041,0.0186
29-02-00,0.0245,0.2171,-0.0993,0.0043,0.1836
