DATE,vwretx,sprtrn
19980130,0.003624,0.010150
19980227,0.071798,0.070449
19980331,0.050044,0.049946
19980430,0.009902,0.009076
19980529,-0.027040,-0.018826
19980630,0.030725,0.039438
19980731,-0.024343,-0.011615
19980831,-0.159153,-0.145797
19980930,0.062308,0.062396
19981030,0.073375,0.080294
19981130,0.060615,0.059126
19981231,0.061723,0.056375
19990129,0.037658,0.041009
19990226,-0.039271,-0.032283
19990331,0.036659,0.038794
19990430,0.048284,0.037944
19990528,-0.022381,-0.024970
19990630,0.049722,0.054438
19990730,-0.031594,-0.032046
19990831,-0.011143,-0.006254
19990930,-0.024049,-0.028552
19991029,0.061360,0.062539
19991130,0.035617,0.019062
19991231,0.082643,0.057844
20000131,-0.040248,-0.050904
20000229,0.030679,-0.020108
20000331,0.052515,0.096720
20000428,-0.060317,-0.030796
20000531,-0.040029,-0.021915
20000630,0.050806,0.023934
20000731,-0.018432,-0.016341
20000831,0.073825,0.060699
20000929,-0.051882,-0.053483
20001031,-0.025164,-0.004949
20001130,-0.103579,-0.080069
20001229,0.019428,0.004053
20010131,0.038813,0.034637
20010228,-0.100201,-0.092291
20010330,-0.071348,-0.064205
20010430,0.082824,0.076814
20010531,0.009069,0.005090
20010629,-0.018328,-0.025004
20010731,-0.019265,-0.010772
20010831,-0.060356,-0.064108
20010928,-0.092618,-0.081723
20011031,0.026818,0.018099
20011130,0.077341,0.075176
20011231,0.016570,0.007574
20020131,-0.016929,-0.015574
20020228,-0.023063,-0.020766
20020328,0.043709,0.036739
20020430,-0.050521,-0.061418
20020531,-0.011969,-0.009081
20020628,-0.071507,-0.072465
20020731,-0.082334,-0.078995
20020830,0.006431,0.004881
20020930,-0.101384,-0.110013
20021031,0.073501,0.086436
20021129,0.059593,0.057070
20021231,-0.054958,-0.060333
20030131,-0.024610,-0.027415
20030228,-0.017218,-0.017004
20030331,0.008897,0.008358
20030430,0.081162,0.081044
20030530,0.061743,0.050899
20030630,0.014771,0.011322
20030731,0.021749,0.016224
20030829,0.023516,0.017873
20030930,-0.010602,-0.011944
20031031,0.058836,0.054962
20031128,0.015052,0.007129
20031231,0.043848,0.050765
20040130,0.022013,0.017276
20040227,0.013994,0.012209
20040331,-0.011991,-0.016359
20040430,-0.025560,-0.016791
20040528,0.012374,0.012083
20040630,0.020039,0.017989
20040730,-0.038765,-0.034291
20040831,0.001083,0.002287
20040930,0.019085,0.009364
20041029,0.016579,0.014014
20041130,0.044313,0.038595
20041231,0.033422,0.032458
20050131,-0.027405,-0.025290
20050228,0.020839,0.018903
20050331,-0.018583,-0.019118
20050429,-0.026569,-0.020109
20050531,0.036150,0.029952
20050630,0.009902,-0.000143
20050729,0.042229,0.035968
20050831,-0.007761,-0.011222
20050930,0.009338,0.006949
20051031,-0.021981,-0.017741
20051130,0.038070,0.035186
20051230,0.001886,-0.000952
20060131,0.038935,0.025467
20060228,-0.003553,0.000453
